Designator,Footprint,Mid X,Mid Y,Ref X,Ref Y,Pad X,Pad Y,Layer,Rotation,Comment
C1_1_1,R0201,14.4mm,46.2mm,14.4mm,46.2mm,14.06mm,46.4mm,T,330,Comment
C1_2_1,R0201,13.61mm,44.5mm,13.61mm,44.5mm,13.23mm,44.61mm,T,345,Comment
C1_3_1,R0201,15.52mm,47.58mm,15.52mm,47.58mm,15.23mm,47.87mm,T,315,Comment
C1_4_1,R0201,18.5mm,49.39mm,18.5mm,49.39mm,18.39mm,49.77mm,T,285,Comment
C1_5_1,R0201,27.41mm,44.3mm,27.41mm,44.3mm,27.03mm,44.19mm,T,15,Comment
C1_6_1,R0201,22.4mm,35.6mm,22.4mm,35.6mm,22.5mm,35.21mm,T,105,Comment
C1_7_1,R0201,13.6mm,40.6mm,13.6mm,40.6mm,13.99mm,40.7mm,T,195,Comment
C1_8_1,R0201,15.5mm,37.4mm,15.5mm,37.4mm,15.22mm,37.12mm,T,45,Comment
C1_9_1,R0201,25.4mm,37.3mm,25.4mm,37.3mm,25.68mm,37.02mm,T,135,Comment
C1_10_1,R0201,25.62mm,47.52mm,25.62mm,47.52mm,25.9mm,47.8mm,T,225,Comment
C1_11_1,R0201,18.7mm,35.5mm,18.7mm,35.5mm,18.6mm,35.11mm,T,75,Comment
C1_12_1,R0201,27.4mm,40.5mm,27.4mm,40.5mm,27.79mm,40.4mm,T,165,Comment
C1_13_1,R0201,22.4mm,49.41mm,22.4mm,49.41mm,22.5mm,49.8mm,T,255,Comment
C2_1_1,R0201,26.5mm,38.75mm,26.5mm,38.75mm,26.85mm,38.55mm,T,150,Comment
C3_1_1,R0201,24.2mm,48.65mm,24.2mm,48.65mm,24.4mm,49mm,T,240,Comment
C4_1_1,R0201,17mm,36.25mm,17mm,36.25mm,16.8mm,35.9mm,T,60,Comment
C5_1_1,R0201,14.35mm,38.9mm,14.35mm,38.9mm,14.01mm,38.7mm,T,30,Comment
C6_1_1,R0201,16.9mm,48.75mm,16.9mm,48.75mm,16.7mm,49.09mm,T,300,Comment
C7_1_1,R0201,26.75mm,46mm,26.75mm,46mm,27.1mm,46.2mm,T,210,Comment
C8_1_1,R0201,24mm,36.25mm,24mm,36.25mm,24.2mm,35.9mm,T,120,Comment
C9_1_1,R0201,27.7mm,42.6mm,27.7mm,42.6mm,28.1mm,42.6mm,T,180,Comment
